renglon,año,ent,id_ent,cvegeo,pob,pobh,pobm,nac,defs,emigintnal,inmigintnal,emigest,inmigest,crecnat,crecsoct,crect,e0h,e0m,e0,mnest,mnintnal,tmih,tmim,tmi,tbm,tbn,tcn,tcs,tc,temigest,tinmigest,tmnetest,tmnetintnal,tgf
810,2020,Oaxaca,20,20,4127899.231,1966741.476,2161157.755,78536.13531,29593,25034.44192,1005.002412,28275.52923,24073.00786,48943.13531,-28231.96089,20711.17442,71.15507239,76.77405988,73.8960419,-4202.521379,-24029.43951,11.95319342,9.725552825,10.86653947,7.169021903,19.02569102,1.185666911,-0.683930477,0.501736435,0.684985937,0.583178186,-0.101807751,-0.582122726,2.273387264
811,2021,Oaxaca,20,20,4148078.274,1974638.472,2173439.801,77952.81881,29851,25096.17028,1004.980691,28286.92249,24163.20887,48101.81881,-28214.90321,19886.9156,71.32182007,76.91461847,74.05001441,-4123.713618,-24091.18959,11.60903659,9.445534314,10.55366962,7.196344435,18.79251395,1.159616951,-0.68019216,0.479424791,0.681928368,0.58251574,-0.099412628,-0.580779532,2.255661653
812,2022,Oaxaca,20,20,4167532.733,1982218.653,2185314.081,77354.19364,30111,25143.91528,1004.959011,28286.33083,24246.08318,47243.19364,-28179.20391,19063.98972,71.48763341,77.05402883,74.20294825,-4040.247647,-24138.95627,11.29191776,9.187514905,10.26537978,7.225138212,18.56114843,1.133601021,-0.67616035,0.457440672,0.678730862,0.581785069,-0.096945793,-0.579214557,2.239421336
813,2023,Oaxaca,20,20,4186173.207,1989419.065,2196754.142,76744.81484,30375,25178.70977,1004.937383,28275.27345,24321.83198,46369.81484,-28127.21386,18242.60098,71.65258648,77.192355,74.35491259,-3953.44147,-24173.77239,10.99983934,8.949869282,9.999853946,7.256030388,18.33292868,1.107689829,-0.671907551,0.435782278,0.675444423,0.581003957,-0.094440466,-0.577467085,2.224551866
814,2024,Oaxaca,20,20,4204007.374,1996245.904,2207761.47,76123.4206,30643,25201.52542,1004.915815,28255.08392,24390.65618,45480.4206,-28061.03734,17419.38326,71.81674724,77.3296561,74.50597108,-3864.427741,-24196.6096,10.73093143,8.731076027,9.755392209,7.28899768,18.10734707,1.081834939,-0.667483067,0.414351872,0.672098819,0.580176341,-0.091922478,-0.575560589,2.210945917
815,2025,Oaxaca,20,20,4221023.242,2002695.427,2218327.815,75485.46413,30916,25213.27457,1004.894316,28226.8058,24452.74754,44569.46413,-27982.43851,16587.02562,71.98017771,77.46598647,74.65618198,-3774.05826,-24208.38025,10.48344687,8.529713592,9.530406249,7.324290398,17.88321452,1.055892412,-0.662930216,0.392962196,0.668719507,0.579308526,-0.08941098,-0.573519236,2.198503141
816,2026,Oaxaca,20,20,4237192.32,2008755.5,2228436.82,74836.02178,31195,25215.22767,1004.872895,28191.31212,24508.3755,43641.02178,-27893.2914,15747.73038,72.14293427,77.60139596,74.80559851,-3682.93662,-24210.35478,10.25575593,8.344455963,9.323414484,7.362186477,17.66170051,1.029951404,-0.658296563,0.371654841,0.665330011,0.578410741,-0.08691927,-0.571377293,2.187129965
817,2027,Oaxaca,20,20,4252511.413,2014426.626,2238084.786,74190.48917,31479,25208.53599,1004.85156,28149.51494,24557.95383,42711.48917,-27795.24554,14916.24363,72.30506791,77.73593015,74.954269,-3591.561116,-24203.68443,10.0463407,8.174068113,9.133036998,7.402449269,17.44627632,1.004382705,-0.65361954,0.350763165,0.661950368,0.577492955,-0.084457413,-0.569162127,2.176739345
818,2028,Oaxaca,20,20,4267004.432,2019722.782,2247281.649,73557.41434,31771,25194.25833,1004.830319,28102.31414,24601.89925,41786.41434,-27689.8429,14096.57144,72.46662452,77.86963061,75.10223725,-3500.414891,-24189.42801,9.853789374,8.017401355,8.95799034,7.445738693,17.23865431,0.979291562,-0.648929321,0.33036224,0.658595851,0.576561371,-0.08203448,-0.566894841,2.167250482
819,2029,Oaxaca,20,20,4280689.898,2024656.066,2256033.832,72938.2137,32069,25173.00072,1004.809179,28050.53889,24640.62734,40869.2137,-27578.10309,13291.11061,72.62764518,78.00253515,75.24954272,-3409.911548,-24168.19154,9.676790516,7.873388647,8.797082287,7.491549439,17.0388922,0.954734276,-0.644244357,0.310489919,0.655280797,0.575622807,-0.07965799,-0.564586366,2.158588525
820,2030,Oaxaca,20,20,4293423.116,2029154.412,2264268.704,72328.73204,32376,25145.27494,1004.788149,27994.85437,24674.55531,39952.73204,-27460.78585,12491.9462,72.78816641,78.13467805,75.39622087,-3320.29906,-24140.48679,9.514127292,7.741039933,8.649206629,7.540836093,16.84640206,0.930556597,-0.639601202,0.290955395,0.652040426,0.574705885,-0.077334541,-0.562266661,2.150684251
821,1990,Puebla,21,21,4494848,2208560,2286288,138891,27788,23566,844,39971,30169,111103,-32524,78579,65.1938798,74.54235398,69.7541111,-9802,-22722,48.41511553,39.39229855,44.01374139,6.182189031,30.90004378,2.471785475,-0.723583979,1.748201496,0.889262551,0.671190661,-0.21807189,-0.505512089,3.9300222
822,1991,Puebla,21,21,4575107,2244417,2330690,139902,27693,24443,957,40397,30742,112209,-33141,79068,65.81270556,74.74019209,70.16757704,-9655,-23486,46.39747987,37.75067681,42.17952716,6.052973187,30.57895695,2.452598376,-0.724376501,1.728221875,0.882973885,0.671940569,-0.211033316,-0.513343185,3.836160639
823,1992,Puebla,21,21,4654771,2280786,2373985,140923,27642,25629,1101,40807,31274,113281,-34061,79220,66.38807575,74.92632606,70.5530759,-9533,-24528,44.43760526,36.15605155,40.39782297,5.938423179,30.27495875,2.433653557,-0.731743839,1.701909718,0.87667041,0.671869787,-0.204800623,-0.526943216,3.752117636
